히바우두, “바르사, 메시 잔류 설득 위해선 우승해야 해”::(베스트 일레븐)리오넬 메시가 소속팀 바르셀로나에 단단히 화가 났다. 이미 지난여름 바르셀로나를 떠나려 했던 메시는 자신에게만 쏟아지는 비난을 더 이상 참기...
발렌시아 복귀한 이강인, 코로나 우려로 '나홀로 훈련'::이강인(발렌시아). 게티이미지코리아[풋볼리스트] 김정용 기자= 축구대표팀에서 소속팀 발렌시아로 돌아간 이강인이 팀원들과 떨어져 개별 훈련을 소화했다.스페인 ...
'쏘니 전 동료' 에릭센, 벨기에전 2-4 패배에도 "내년을 바라본다" 소감::크리스티안 에릭센이 지난 16일(한국시간) 오전 덴마크 수도 코펜하겐 소재 파르켄에서 아이슬란드와 가진 유럽축구연맹(UEFA) 네이션스리그 리그 A 2조 5...
루이스-세바요스, 훈련 중 주먹다짐...'피까지 흘렸다' (英 매체)::[스포탈코리아] 곽힘찬 기자= 아스널 팀 훈련 중 다비드 루이스가 다니 세바요스의 코를 가격하는 큰 싸움이 일어난 것으로 알려져 충격을 주고 있다.영국 매체...
'난 영국이 싫어요' 비디오 시청케한 아일랜드 감독 징계 위기::스티븐 케니 아일랜드 축구대표팀 감독이 친선전이 열리기 전 선수들에게 악의적인 내용의 시청각 자료를 제공한 사실이 적발돼 논란의 중심에 섰다. /사진=로이터...
'재정 확보vs역대급 비난'…바르사, 메시 이적 딜레마에 빠졌다::[인터풋볼] 신동훈 기자= 바르셀로나가 리오넬 메시(33) 이적을 두고 딜레마에 빠진 것으로 보인다.메시는 지난 여름 이적시장에서 이적을 선언한 바 있다. ...
펩, 만수르로부터 '최대의 지원' 약속받아…메시에게도 관심::펩 과르디올라 맨체스터 시티 감독[STN스포츠=이형주 기자]변화될 펩 과르디올라(49)호 맨체스터 시티가 기대되는 상황이다. 과르디올라 감독이 19일 맨시티...
케디라 “EPL행 원해…최애 감독은 무리뉴”::[스포츠경향] 사미 케디라. 게티이미지코리아베테랑 미드필더 사미 케디라(33·유벤투스)가 잉글랜드 프리미어리그(EPL)행을 희망했다.19일(한국시간) 영국 ...
‘후보 전락’ 제임스, “맨유는 내 클럽…언제나 자리 지킬 것”::(베스트 일레븐)맨체스터 유나이티드에서 후보 자원으로 전락한 다니엘 제임스가 여전한 애정을 드러냈다. 자리가 어떻든 클럽에 계속 머물고 싶다는 소망이다.제임...
전 아스널 선수 "에릭센 영입해야…토트넘 상관 안 해"::▲ 아스널 이적설이 제기된 크리스티안 에릭센.[스포티비뉴스=김건일 기자] 아스널에서 뛰었던 케빈 캠벨이 크리스티안 에릭센(28)과 계약을 촉구했다.캠벨은 1...
과르디올라가 직접 메시 영상 분석 “어슬렁? 상대 수비 냄새맡는거지”::[스포츠경향] 펩 과르디올라 맨시티 감독이 리오넬 메시의 움직임을 직접 분석했다. 스포츠바이블 캡처“어슬렁거린다고? 상대를 읽는거지.”축구 천재 리오넬 메시...
지루, 내년 1월 첼시 떠난다…유로 2020 출전 위해::▲ 올리비에 지루.[스포티비뉴스=맹봉주 기자] 올리비에 지루(34)가 프랑스 대표팀 디디에 데샹 감독의 말을 듣는다.영국 매체 '가디언'은 20일(이하 한국...
'펩과 계약 연장' 맨시티, 메시 영입 박차 가하나::리오넬 메시(바르셀로나). 게티이미지코리아[풋볼리스트] 유현태 기자= 맨체스터시티가 펩 과르디올라와 2년 연장 계약을 맺었다. 바르셀로나와 엇박자를 내고 있...
'무리뉴 계획 OUT' 알리, 올 겨울 PSG 임대 떠날 수도::[인터풋볼] 김대식 기자 = 겨울 이적시장에 델레 알리가 파리 생제르맹(PSG)로 임대를 떠날 수도 있다는 소식이다.미국 '디 애슬래틱'에서 활동 중인 데이...
즐라탄, 동료들에게 플스5 선물 돌려...그것도 발매일에::[스포탈코리아] 이은경 기자= 즐라탄 이브라히모비치(AC밀란)가 팀 동료들에게 최신 게임기를 돌리는 ‘통 큰 크리스마스 선물’을 했다. 해외매체 ‘스포츠 바...
겸손한 손흥민 “자랑스럽다… 케인도 상 받을 자격 있어”::[엑스포츠뉴스 김희웅 인턴기자] 손흥민(토트넘 홋스퍼)이 10월 선수상을 받은 소감을 뒤늦게 털어놨다.잉글랜드 프리미어리그(EPL)는 지난 13일(한국 시간...
아르테타와 불화 겪는 외질, 지난달 발간한 '전 스승' 벵거 자서전 구매 인증::왼쪽부터 외질, 벵거. EPL 홈페이지, 외질 인스타그램 캡처 잉글랜드 프로축구 1부리그 프리미어리그(EPL) 소속 아스널 FC의 독일 출신 미드필더 메수트...
손흥민 "BTS·기생충 좋아해...팬들 그리움 10점 만점에 11점"::‘EPL 이달의 선수상’을 받고 즐거워하는 손흥민. 사진=토트넘 트위터[이데일리 스타in 이석무 기자] 대표팀 일정을 마치고 소속팀 토트넘에 복귀한 손흥민(...
메시 이적설 다시 불붙나…맨시티, 과르디올라 감독과 연장 계약::[스포츠경향] 바르셀로나 시절 리오넬 메시(왼쪽)와 페프 과르디올라 감독이 서로 얼싸안으며 기뻐하고 있다. 게티이미지코리아잉글랜드 프리미어리그 맨체스터 시티...
라모스 햄스트링 다쳤다…레알 울상::[스포츠경향] 세르히오 라모스. 게티이미지코리아스페인 프리메라리가 레알마드리드 핵심 센터백 세르히오 라모스(34)가 햄스트링 부상으로 전열에서 이탈한다.레알...
'전 EPL 태클 1위' 레스터 페헤이라, 리버풀전서 8달 만의 복귀 가능::레스터 시티 라이트백 히카르두 페헤이라[STN스포츠=이형주 기자]레스터 시티 라이트백 히카르두 페헤이라(27)가 리버풀전에 복귀할 수도 있다. 레스터는 오는...
통 큰 즐라탄, 밀란 동료 전원에게 PS5 선물..."쟤가 다 사서 내가 못 샀네"::[OSEN=이인환 기자] 즐라탄 이브라히모비치의 통 큰 선물이 화제다.영국 '더 선'은 20일(한국시간) "즐라탄 이브라히모비치가 AC 밀란 팀 동료 전원에...
'스페셜 원' 무리뉴 감독 "이젠 '익스피리언스트 원'이다"::주제 무리뉴. 게티이미지코리아[풋볼리스트] 유현태 기자= 주제 무리뉴 토트넘 감독은 이제 자신을 '경험 많은 사람(experienced one)'이라고 표현...
[SW이슈]과르디올라, 맨시티와 계약…7년 동행 시작::[스포츠월드=전영민 기자] 펩 과르디올라(49) 감독이 잉글랜드 프로축구프리미어리그(EPL) 맨체스터 시티(이하 맨시티)와 오는 2023년까지 동행한다. 맨...
경기장서 모습 감춘 제임스… 그럼에도 "맨유 사랑해"::맨체스터 유나이티드 측면공격수 대니얼 제임스가 부족한 출전 기회에도 만족감을 드러냈다. /사진=로이터맨체스터 유나이티드(맨유) 측면공격수 대니얼 제임스가 줄...
히바우두, “바르사, 메시 잔류 설득 위해선 우승해야 해”::(베스트 일레븐)리오넬 메시가 소속팀 바르셀로나에 단단히 화가 났다. 이미 지난여름 바르셀로나를 떠나려 했던 메시는 자신에게만 쏟아지는 비난을 더 이상 참기...
발렌시아 복귀한 이강인, 코로나 우려로 '나홀로 훈련'::이강인(발렌시아). 게티이미지코리아[풋볼리스트] 김정용 기자= 축구대표팀에서 소속팀 발렌시아로 돌아간 이강인이 팀원들과 떨어져 개별 훈련을 소화했다.스페인 ...
'쏘니 전 동료' 덴마크 국대 에릭센, 벨기에전 2-4 패배에도 "내년을 바라본다" 소감::크리스티안 에릭센이 지난 16일(한국시간) 오전 덴마크 수도 코펜하겐 소재 파르켄에서 아이슬란드와 가진 유럽축구연맹(UEFA) 네이션스리그 리그 A 2조 5...
루이스-세바요스, 훈련 중 주먹다짐...'피까지 흘렸다' (英 매체)::[스포탈코리아] 곽힘찬 기자= 아스널 팀 훈련 중 다비드 루이스가 다니 세바요스의 코를 가격하는 큰 싸움이 일어난 것으로 알려져 충격을 주고 있다.영국 매체...
'난 영국이 싫어요' 비디오 시청케한 아일랜드 감독 징계 위기::스티븐 케니 아일랜드 축구대표팀 감독이 친선전이 열리기 전 선수들에게 악의적인 내용의 시청각 자료를 제공한 사실이 적발돼 논란의 중심에 섰다. /사진=로이터...
'재정 확보vs역대급 비난'…바르사, 메시 이적 딜레마에 빠졌다::[인터풋볼] 신동훈 기자= 바르셀로나가 리오넬 메시(33) 이적을 두고 딜레마에 빠진 것으로 보인다.메시는 지난 여름 이적시장에서 이적을 선언한 바 있다. ...
펩, 만수르로부터 '최대의 지원' 약속받아…메시에게도 관심::펩 과르디올라 맨체스터 시티 감독[STN스포츠=이형주 기자]변화될 펩 과르디올라(49)호 맨체스터 시티가 기대되는 상황이다. 과르디올라 감독이 19일 맨시티...
케디라 “EPL행 원해…최애 감독은 무리뉴”::[스포츠경향] 사미 케디라. 게티이미지코리아베테랑 미드필더 사미 케디라(33·유벤투스)가 잉글랜드 프리미어리그(EPL)행을 희망했다.19일(한국시간) 영국 ...
‘후보 전락’ 제임스, “맨유는 내 클럽…언제나 자리 지킬 것”::(베스트 일레븐)맨체스터 유나이티드에서 후보 자원으로 전락한 다니엘 제임스가 여전한 애정을 드러냈다. 자리가 어떻든 클럽에 계속 머물고 싶다는 소망이다.제임...
전 아스널 선수 "에릭센 영입해야…토트넘 상관 안 해"::▲ 아스널 이적설이 제기된 크리스티안 에릭센.[스포티비뉴스=김건일 기자] 아스널에서 뛰었던 케빈 캠벨이 크리스티안 에릭센(28)과 계약을 촉구했다.캠벨은 1...
과르디올라가 직접 메시 영상 분석 “어슬렁? 상대 수비 냄새맡는거지”::[스포츠경향] 펩 과르디올라 맨시티 감독이 리오넬 메시의 움직임을 직접 분석했다. 스포츠바이블 캡처“어슬렁거린다고? 상대를 읽는거지.”축구 천재 리오넬 메시...
지루, 내년 1월 첼시 떠난다…유로 2020 출전 위해::▲ 올리비에 지루.[스포티비뉴스=맹봉주 기자] 올리비에 지루(34)가 프랑스 대표팀 디디에 데샹 감독의 말을 듣는다.영국 매체 '가디언'은 20일(이하 한국...
'펩과 계약 연장' 맨시티, 메시 영입 박차 가하나::리오넬 메시(바르셀로나). 게티이미지코리아[풋볼리스트] 유현태 기자= 맨체스터시티가 펩 과르디올라와 2년 연장 계약을 맺었다. 바르셀로나와 엇박자를 내고 있...
'무리뉴 계획 OUT' 알리, 올 겨울 PSG 임대 떠날 수도::[인터풋볼] 김대식 기자 = 겨울 이적시장에 델레 알리가 파리 생제르맹(PSG)로 임대를 떠날 수도 있다는 소식이다.미국 '디 애슬래틱'에서 활동 중인 데이...
즐라탄, 동료들에게 플스5 선물 돌려...그것도 발매일에::[스포탈코리아] 이은경 기자= 즐라탄 이브라히모비치(AC밀란)가 팀 동료들에게 최신 게임기를 돌리는 ‘통 큰 크리스마스 선물’을 했다. 해외매체 ‘스포츠 바...
